********************************************************************************
Field Output Report, written Thu May 28 11:11:24 2015

Source 1
---------

   ODB: C:/Users/ozarraga/Desktop/BeamOnDisk/beamOnDiskMatrix.odb
   Step: presion
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Surface nodal values from source 1 ( Average criteria = 75%, Not averaged across region boundaries )

Output sorted by column "Node Label".

Field Output reported at element nodes for part: BEAM-1

         Element           Facet            Node          CPRESS
            1459               1            1743              0.
            1075               1            1744     167.157E+03
            1246               1            1744     167.157E+03
            1460               1            1744     167.157E+03
             298               1            1744     167.157E+03
            1451               1            1744     167.157E+03
             308               1            1745              0.
             310               1            1745              0.
             309               1            1745              0.
            1247               1            1745              0.
             311               1            1746              0.
             585               1            1746              0.
             773               1            1746              0.
             728               1            1746              0.
              51               1            1747              0.
             721               1            1747              0.
              50               1            1747              0.
             312               1            1747              0.
             716               1            1748              0.
              40               1            1748              0.
              39               1            1748              0.
             708               1            1748              0.
               5               1            1749              0.
             717               1            1749              0.
             855               1            1749              0.
             668               1            1749              0.
            1045               1            1750              0.
            1013               1            1750              0.
             284               1            1750              0.
             856               1            1750              0.
             285               1            1750              0.
            1391               1            1751              0.
            1154               1            1751              0.
              15               1            1751              0.
            1195               1            1751              0.
            1439               1            1752              0.
            1319               1            1752              0.
             313               1            1752              0.
             319               1            1752              0.
             288               1            1753              0.
            1252               1            1753              0.
            1212               1            1753              0.
            1496               1            1753              0.
             981               1            1754              0.
            1182               1            1754              0.
            1310               1            1754              0.
            1308               1            1754              0.
            1269               1            1755              0.
             752               1            1755              0.
             841               1            1755              0.
            1551               1            1755              0.
             629               1            1756              0.
             180               1            1756              0.
             753               1            1756              0.
             642               1            1756              0.
              70               1            1757              0.
             776               1            1757              0.
              99               1            1757              0.
             307               1            1757              0.
             777               1            1758              0.
              72               1            1758              0.
             852               1            1758              0.
             727               1            1758              0.
            1311               1            1759              0.
             325               1            1759              0.
            1318               1            1759              0.
             324               1            1759              0.
            1372               1            1760     1.72122E+06
            1390               1            1760     1.72122E+06
             331               1            1760     1.72122E+06
              92               1            1760     1.72122E+06
            1109               1            1761              0.
            1544               1            1761              0.
            1219               1            1761              0.
            1364               1            1761              0.
            1041               1            1762              0.
            1110               1            1762              0.
